model,forecast,se,forecast.date,date,observed
naive,5.7,0.19177058242638034,2015-01-01,2015-02-01,5.5
auto.arima,5.653459501996249,0.17960985189297796,2015-01-01,2015-02-01,5.5
ets,5.653691059097471,0.179094998930423,2015-01-01,2015-02-01,5.5
naive,5.5,0.19178205001168613,2015-02-01,2015-03-01,5.4
auto.arima,5.474781974153568,0.17957623966713884,2015-02-01,2015-03-01,5.4
ets,5.4778201375172015,0.17901022148142018,2015-02-01,2015-03-01,5.4
naive,5.4,0.19168690411660674,2015-03-01,2015-04-01,5.4
auto.arima,5.349774292240768,0.1794745870743809,2015-03-01,2015-04-01,5.4
ets,5.3517395100453715,0.17891071607554268,2015-03-01,2015-04-01,5.4
naive,5.4,0.19155646047841998,2015-04-01,2015-05-01,5.6
auto.arima,5.349124690712812,0.17936161160977226,2015-04-01,2015-05-01,5.6
ets,5.34988705661385,0.17879720637871882,2015-04-01,2015-05-01,5.6
naive,5.6,0.19156818515927262,2015-05-01,2015-06-01,5.3
auto.arima,5.58083429436871,0.17947875216879217,2015-05-01,2015-06-01,5.3
ets,5.580332010017683,0.17891380922139555,2015-05-01,2015-06-01,5.3
naive,5.3,0.19175685644735802,2015-06-01,2015-07-01,5.2
auto.arima,5.3079885750918505,0.17965433623562155,2015-06-01,2015-07-01,5.2
ets,5.311712265122711,0.17909036917354373,2015-06-01,2015-07-01,5.2
naive,5.2,0.19166224809328866,2015-07-01,2015-08-01,5.1
auto.arima,5.155000812293778,0.17957608903210626,2015-07-01,2015-08-01,5.1
ets,5.15656343212258,0.17901549359391475,2015-07-01,2015-08-01,5.1
naive,5.1,0.19156784924938555,2015-08-01,2015-09-01,5
auto.arima,5.041920142900677,0.17946544677379897,2015-08-01,2015-09-01,5
ets,5.042760914608632,0.1789058286232859,2015-08-01,2015-09-01,5
naive,5,0.191473659186224,2015-09-01,2015-10-01,5
auto.arima,4.940191893886228,0.17935022760851338,2015-09-01,2015-10-01,5
ets,4.941301342295781,0.17879117101328165,2015-09-01,2015-10-01,5
naive,5,0.1913444160670855,2015-10-01,2015-11-01,5.1
auto.arima,4.946874244937743,0.17924228380546622,2015-10-01,2015-11-01,5.1
ets,4.9476759110036825,0.1786829063732882,2015-10-01,2015-11-01,5.1
naive,5.1,0.19125067165112958,2015-11-01,2015-12-01,5
auto.arima,5.07435657260545,0.17920966451028977,2015-11-01,2015-12-01,5
ets,5.074865941081863,0.1786497064245373,2015-11-01,2015-12-01,5
naive,5,0.1911571337881893,2015-12-01,2016-01-01,4.8
auto.arima,4.998653664920022,0.17910926479310335,2015-12-01,2016-01-01,4.8
ets,5.00103669291421,0.17855001092628453,2015-12-01,2016-01-01,4.8
naive,4.8,0.19116929388563186,2016-01-01,2016-02-01,4.9
auto.arima,4.775189798944789,0.17913683362028696,2016-01-01,2016-02-01,4.9
ets,4.777800258076296,0.17858222883123961,2016-01-01,2016-02-01,4.9
naive,4.9,0.19107607677073005,2016-02-01,2016-03-01,5
auto.arima,4.854928153793471,0.17907460488638927,2016-02-01,2016-03-01,5
ets,4.854476491652006,0.1785177805186188,2016-02-01,2016-03-01,5
naive,5,0.19098306425204065,2016-03-01,2016-04-01,5.1
auto.arima,4.990757284361929,0.1790332719142063,2016-03-01,2016-04-01,5.1
ets,4.990448911561294,0.17847731846100812,2016-03-01,2016-04-01,5.1
naive,5.1,0.19089025562375328,2016-04-01,2016-05-01,4.8
auto.arima,5.121809920199462,0.1789577428907033,2016-04-01,2016-05-01,4.8
ets,5.122182904855926,0.17840236422042596,2016-04-01,2016-05-01,4.8
naive,4.8,0.19107772027938172,2016-05-01,2016-06-01,4.9
auto.arima,4.8167947337231025,0.17922534604445842,2016-05-01,2016-06-01,4.9
ets,4.820043102191998,0.1786725616156639,2016-05-01,2016-06-01,4.9
naive,4.9,0.19098507899973236,2016-06-01,2016-07-01,4.8
auto.arima,4.867739420222905,0.1791308615346576,2016-06-01,2016-07-01,4.8
ets,4.866844125540213,0.17857646531033733,2016-06-01,2016-07-01,4.8
naive,4.8,0.19089263998384004,2016-07-01,2016-08-01,4.9
auto.arima,4.782444859712832,0.1790280252839183,2016-07-01,2016-08-01,4.9
ets,4.7828240156658515,0.17847350452342928,2016-07-01,2016-08-01,4.9
naive,4.9,0.1908004025376305,2016-08-01,2016-09-01,5
auto.arima,4.881066518057474,0.178959985001819,2016-08-01,2016-09-01,5
ets,4.8803291669079245,0.1784055185872506,2016-08-01,2016-09-01,5
naive,5,0.19070836597030547,2016-09-01,2016-10-01,4.9
auto.arima,5.009704012474377,0.17889330919406607,2016-09-01,2016-10-01,4.9
ets,5.00940026857296,0.17833983160434916,2016-09-01,2016-10-01,4.9
naive,4.9,0.19061652959431838,2016-10-01,2016-11-01,4.7
auto.arima,4.920908887181805,0.17881882836869817,2016-10-01,2016-11-01,4.7
ets,4.922350326836505,0.17826550437851213,2016-10-01,2016-11-01,4.7
naive,4.7,0.19062928040156674,2016-11-01,2016-12-01,4.7
auto.arima,4.687402844195143,0.17888139115239682,2016-11-01,2016-12-01,4.7
ets,4.689065046062236,0.1783313615820389,2016-11-01,2016-12-01,4.7
naive,4.7,0.1905029940144691,2016-12-01,2017-01-01,4.7
